id	document	label
20100106	힘 빠진 테마주…'너무 올랐나'	0
20100106	컴투스, '안드로이드 입성' 2010년 글로벌 도약 신호탄	0
20100106	컴투스, 첫 구글 안드로이드 게임 출시	0
20100106	`네티즌 추천` 수익률 BEST 예상 종목	0
20100106	컴투스, 구글 안드로이드 게임 첫 출시	0
20100106	컴투스, 구글 안드로이드용 첫 게임 출시	0
20100106	컴투스, 아이폰 이어 구글폰 게임시장 진출	0
20100106	세중게임즈, 로드하우스 인터랙티브와 게임 공동 개발 계약 체결	0
20100106	더블스탁론, 주식투자에 선물 장점까지	0
20100106	컴투스, 아이폰 이어 구글폰 겨냥	0
20100106	<생생코스닥>컴투스, 구글 안드로이드용 게임 첫 출시	0
20100106	컴투스, 북미 안드로이드 시장 본격 공략	0
20100106	"2010년 온라인게임 뉴 트렌드, ""장르의 진화가 시작된다"""	0
20100106	컴투스, 구글 안드로이드에 '홈런배틀 3D' 출시	0
20100106	아자아자론, 데이트레이더의 동반자	0
20100107	코스닥사 타사지분 매각 행렬	1
20100107	질주하던 안드로이드 관련株, '숨고르기'	1
20100107	토마토스탁론, 이토마토에서 제공하는 스탁론 서비스	1
20100107	‘게임빌vs컴투스’, 앱스토어 격돌	1
20100108	인포뱅크, 컴투스 지분 3.6% 장내처분	0
20100108	인포뱅크, 컴투스 지분 3.6% 장내 처분	0
20100108	[신년특집] ③ '스포츠의 해 2010년' 모바일게임 특수 누릴까?	0
20100111	장 마감 후 주요 종목뉴스-8일	1
20100111	현대證: STX팬오션·두산重·인포뱅크	1
20100111	나이스스탁론, 증권거래수수료無 · 원금의 4배 투자	1
20100111	컴투스, 세계 50대 아이폰게임 개발사 13위	1
20100111	컴투스, 세계 50대 아이폰 게임 개발사 등극	1
20100111	액션퍼즐 패밀리 3, 최신 애니메이션과 제휴	1
20100111	컴투스, 英 50대 아이폰게임 개발사 13위	1
20100111	주식투자자의 힘, 아자아자론	1
20100111	英포켓게이머, ‘컴투스’ 세계50대 아이폰게임 개발사 13위 선정	1
20100111	액션퍼즐 패밀리3, 영화 `하늘에서 음식이 내린다면` 이벤트 실시	1
20100111	‘50대 아이폰 게임개발사’ 컴투스 13위 게임빌 19위	1
20100111	‘액션퍼즐 패밀리3’, 영화 제휴 이벤트 실시	1
20100111	업계 대표주자들의 2010년 출사표, 입 모아 ’글로벌’!	1
20100113	스마트폰 열풍에 모바일 개발자 '귀하신 몸'	1
20100113	아이폰 인기에 '모바일 결제株' 열풍	1
20100113	[엑츠TV] 컴투스, '컴온베이비! 올스타즈' 신규 영상 공개	1
20100113	'철도' 뜨고 '아이폰' 지고	1
20100115	나이스스탁론, 거래수수료 없이 원금의 4배	1
20100115	"컴온베이비! 올스타즈, ""웰메이드 게임이 돌아온다"""	1
20100115	더블스탁론, 주식투자로 초고속 종잣돈을 만들기	1
20100115	스마트폰株 한달새 평균 50% 하이킥	1
20100115	컴투스, '컴온베이비!올스타즈' 첫 CBT 실시	1
20100115	컴투스,'컴온베이비!올스타즈' 비공개테스트	1
20100115	컴투스, 온라인게임 ‘컴온베이비! 올스타즈’ 1월 21일 CBT 실시	1
20100115	컴투스, 온라인게임 컴온베이비! 올스타즈 1월 21일 CBT 실시	1
20100115	온라인게임 ‘컴온베이비! 올스타즈’ 21일 CBT실시	1
20100118	[표] 코스닥 기관 순매수·순매도 상위종목	0
20100118	[표] 코스닥 외국인 순매수·순매도 상위종목	0
20100118	컴투스 온라인게임 ‘골프스타’, “넌 내게 반했어”	0
20100118	컴투스, 자사주 4000주 처분 결정	0
20100118	[기업공시] 1월 18일	0
20100118	컴투스 보통주 4000주 처분결정	0
20100118	컴투스, 보통주 4000주 처분	0
20100118	[공시]컴투스,자기주식 4000주 처분 결정	0
20100118	골프스타, 리뷰 공모 이벤트 실시	0
20100119	증시에서도 `삼합`을 즐겨라	0
20100119	장 마감 후 주요 종목뉴스-18일	0
20100119	하이배틀론, 주식투자로 부자가 되는 지름길	0
20100119	향후 증시 3대 테마 ‘모바일·디스플레이·그린’	0
20100119	코스닥 큰손 매물에 550선 아래로(마감)	0
20100119	[기업공시] 1월 19일	0
20100119	“증시에도 삼합이 있다”	0
20100119	워런 버핏이 살만한 한국 주식은	0
20100119	“모바일·디스플레이·그린株가 향후 증시 주도”	0
20100119	"신한투자 ""2010년 3대 이슈는 모바일·디스플레이·그린…멜파스 등 유망"""	0
20100125	'아바타'-'아이폰' 신드롬...게임 CEO 7인에게 물었습니다	0
20100126	스마트폰, 휴대용 게임기 영역까지 위협	1
20100126	게임판 ‘엘도라도’ 선점경쟁 후끈	1
20100126	'모바일 축구게임' 되살아난다	1
20100126	컴투스, IMGA에서 3개부문 후보작 선정	1
20100126	토종 모바일게임, IMGA 후보작 선정	1
20100126	컴투스, '모바일 게임 3종' IMGA 노미네이트	1
20100126	컴투스, '컴온베이비! 올스타즈' 1라운드 완승	1
20100126	컴투스 모바일 게임 3종, IMGA 노미네이트	1
20100126	컴온베이비 올스타즈, 1차 CBT 기념 이벤트 실시 [컴온베이비 올스타즈]	1
20100126	‘애플 파이’ 누가 먹을까	1
20100126	컴투스 ‘홈런배틀’ 국제 모바일게임시상 후보	1
20100126	컴투스, 모바일게임 3종 IMGA 후보 선정	1
20100126	컴온베이비 올스타즈, CBT 재접속율 68%	1
20100127	인기 폭발 스마트폰, 수혜주는 어디…	0
20100127	컴투스 골프스타, 첫 대규모 업데이트 예고 [골프스타]	0
20100127	컴투스, 온라인게임 골프스타 첫 대규모 업데이트 예고	0
20100127	골프스타, 16세 소녀 ‘소희’ 추가된다	0
20100127	[기관 따라잡기] 하이닉스 ‘사자’, 현대건설 ‘팔자’	0
20100127	[표] 코스닥 외국인 순매수ㆍ순매도 상위종목	0
20100128	컴투스, 모바일 RPG 퀸스크라운 출시 [퀸스크라운]	0
20100128	동화 같은 모바일 RPG ‘퀸스크라운’ 출시	0
20100128	동화 같은 모험의 세계… 모바일 RPG '퀸스크라운' 출시	0
20100128	<생생코스닥>컴투스, 모바일RPG ‘퀸스크라운’ 출시	0
20100128	애플 ‘아이패드’ 공개, 게임업계 ‘주목’	0
20100128	(기관·외국인동향)외국인, 기아차·현대차·신한지주 순매수	0
